group_id,player_id,listener_accuracy,passes_threshold,n_players_passing,group_passes
G01,0,0.0,False,0,False
G01,1,0.5,False,0,False
G01,2,0.1667,False,0,False
G02,0,0.0,False,0,False
G02,1,0.4167,False,0,False
G02,2,0.0833,False,0,False
G03,0,0.25,False,0,False
G03,1,0.3333,False,0,False
G03,2,0.0833,False,0,False
G04,0,0.1667,False,0,False
G04,1,0.0833,False,0,False
G04,2,0.0833,False,0,False
G05,0,0.25,False,0,False
G05,1,0.0833,False,0,False
G05,2,0.4167,False,0,False
G06,0,0.3333,False,0,False
G06,1,0.5,False,0,False
G06,2,0.1667,False,0,False
G07,0,0.4167,False,0,False
G07,1,0.3333,False,0,False
G07,2,0.25,False,0,False
G08,0,0.5833,False,0,False
G08,1,0.4167,False,0,False
G08,2,0.1667,False,0,False
G09,0,0.25,False,0,False
G09,1,0.25,False,0,False
G09,2,0.3333,False,0,False
G11,0,0.5833,False,0,False
G11,1,0.0833,False,0,False
G11,2,0.0833,False,0,False
G12,0,0.1667,False,0,False
G12,1,0.1667,False,0,False
G12,2,0.5,False,0,False
G13,0,0.5,False,0,False
G13,1,0.5,False,0,False
G13,2,0.1667,False,0,False
G14,0,0.0833,False,0,False
G14,1,0.3333,False,0,False
G14,2,0.25,False,0,False
G15,0,0.25,False,1,False
G15,1,0.75,True,1,False
G15,2,0.25,False,1,False
