gameId,playerId,originalGroup,currentGroup,tangramSet,blockNum,trialNum,phase,phaseNum,target,repNum,utterance,uttLength,umap_x,umap_y
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,1.0,11.0,refgame,1.0,page1-128,2.0,Looks like a C,4,18.151693,13.066971
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,1.0,44.0,refgame,2.0,page1-128,1.0,The C,2,17.025158,12.492902
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,1.0,10.0,refgame,1.0,page3-136,1.0,Looks like a T,4,12.411996,12.307718
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,1.0,46.0,refgame,2.0,page3-136,2.0,The T,2,8.391055,7.525044
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,1.0,47.0,refgame,2.0,page3-85,1.0,Looks like an anchor or a wrench,7,8.99549,9.807854
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,1.0,8.0,refgame,1.0,page3-85,2.0,looks like an anchor,4,12.658232,16.937801
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,1.0,42.0,refgame,2.0,page5-64,1.0,"Smallest figure, turtle looking",4,9.819981,20.875175
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,1.0,9.0,refgame,1.0,page5-64,2.0,it is the smallest figure left in my opinion. mostly triangles,11,9.8938465,20.78198
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,1.0,43.0,refgame,2.0,page9-27,2.0,"Largest triangle at top of figure, goblet, triangle on bottom as well",12,12.704792,18.631237
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,1.0,6.0,refgame,1.0,page9-27,1.0,large upside down triangle on top,6,10.877652,17.355886
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,1.0,45.0,refgame,2.0,page9-46,1.0,Backwards C,2,18.234081,14.978888
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,1.0,7.0,refgame,1.0,page9-46,2.0,"longest vertical line on bottom, almost like a pacman shape",10,12.989071,17.358864
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,4.0,61.0,refgame,2.0,page1-128,4.0,C,1,8.369178,7.6162696
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,4.0,28.0,refgame,1.0,page1-128,3.0,C,1,8.389296,7.6068234
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,4.0,63.0,refgame,2.0,page3-136,4.0,T,1,8.329762,7.491624
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,4.0,25.0,refgame,1.0,page3-136,3.0,T,1,8.2906065,7.5334897
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,4.0,60.0,refgame,2.0,page3-85,3.0,"Tall and skinny figure, looks like an anchor",8,12.537611,16.979912
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,4.0,27.0,refgame,1.0,page3-85,4.0,wrench,1,9.069141,9.722012
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,B,B,1.0,4.0,64.0,refgame,2.0,page5-64,3.0,"Smallest figure., made of triangles",5,10.069396,20.912733
