gameId,roundId,blockNum,phase,phaseNum,target,group,senderId,senderName,senderRole,text,timestamp,trialNum,tangramSet
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AQCKV9YXFGTVMPN9S8RP1,0.0,refgame,1.0,page9-27,A,01KJ1ADZVZREV8CZAR4J758GGY,Repi,speaker,the one with a pyramid on the bottom,1771718851940,0.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AQCKV9YXFGTVMPN9S8RP1,0.0,refgame,1.0,page9-27,B,01KJ1AEJK9C91FE2EF1F6KAWDY,Hera,speaker,"It looks like a triangle on the bottom, then a square in the middle and then another object on top",1771718856416,0.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AQCKV9YXFGTVMPN9S8RP1,0.0,refgame,1.0,page9-27,C,01KJ1AEMA6765ECKJ6NX8GGDF2,Lika,speaker,It kind of looks like an upside down bell with a triangle at the bottom,1771718858673,0.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AQCMEADJRVRTPPF58GWZP,3.0,refgame,1.0,page3-85,B,01KJ1AEJK9C91FE2EF1F6KAWDY,Hera,speaker,The wrench,1771719706024,18.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AQCMEADJRVRTPPF58GWZP,3.0,refgame,1.0,page3-85,A,01KJ1ADZVZREV8CZAR4J758GGY,Repi,speaker,lightning bolt on top of upside down pyramid,1771719706702,18.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AQCMEADJRVRTPPF58GWZP,3.0,refgame,1.0,page3-85,C,01KJ1AEMA6765ECKJ6NX8GGDF2,Lika,speaker,has an upside down triangle at the top,1771719713890,18.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AQCMPC8PZ0EETH7BDVA6W,2.0,refgame,2.0,page1-128,B,01KJ1AD4HAYZZ2TP80YYVT6CS2,Player,speaker,The C,1771720788907,51.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AQCMPC8PZ0EETH7BDVA6W,2.0,refgame,2.0,page1-128,A,01KJ1ADZ3BQAVZHF51FQ5WJ14K,Player,speaker,a bold letter C,1771720789643,51.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AQCMPC8PZ0EETH7BDVA6W,2.0,refgame,2.0,page1-128,C,01KJ1AEMA6765ECKJ6NX8GGDF2,Player,speaker,looks like the letter c,1771720792870,51.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AQCMSRCHT1CGHT2K2X38J,2.0,refgame,1.0,page5-64,B,01KJ1AD4HAYZZ2TP80YYVT6CS2,Bavi,speaker,Turtle walking to the left,1771719670031,17.0,1.0
