group_id,target,block_num,prev_block_num,similarity
G01,page-B,1,0,0.5987
G01,page-B,2,1,0.7819
G01,page-B,3,2,1.0
G01,page-B,4,3,1.0
G01,page-B,5,4,1.0
G01,page7-107,1,0,0.6865
G01,page7-107,2,1,0.9289
G01,page7-107,3,2,1.0
G01,page7-107,4,3,1.0
G01,page7-107,5,4,1.0
G01,page7-255,1,0,0.7924
G01,page7-255,2,1,0.9443
G01,page7-255,3,2,1.0
G01,page7-255,4,3,1.0
G01,page7-255,5,4,0.9641
G01,page3-35,1,0,0.7661
G01,page3-35,2,1,0.6872
G01,page3-35,3,2,1.0
G01,page3-35,4,3,1.0
G01,page3-35,5,4,0.8648
G01,page5-28,1,0,0.8103
G01,page5-28,2,1,0.9202
G01,page5-28,3,2,1.0
G01,page5-28,4,3,0.917
G01,page5-28,5,4,0.8008
G01,page9-46,1,0,0.7577
G01,page9-46,2,1,0.8496
G01,page9-46,3,2,1.0
G01,page9-46,4,3,1.0
G01,page9-46,5,4,1.0
G02,page-B,1,0,0.1691
G02,page-B,2,1,0.8956
G02,page-B,3,2,1.0
G02,page-B,4,3,1.0
G02,page-B,5,4,1.0
G02,page3-35,1,0,0.2554
G02,page3-35,2,1,0.8711
G02,page3-35,3,2,0.8636
G02,page3-35,4,3,0.9018
G02,page3-35,5,4,0.9135
G02,page7-107,1,0,0.343
G02,page7-107,2,1,0.8275
G02,page7-107,3,2,0.9161
G02,page7-107,4,3,0.9483
G02,page7-107,5,4,0.8782
G02,page7-255,1,0,0.4553
G02,page7-255,2,1,0.7865
G02,page7-255,3,2,0.6541
G02,page7-255,4,3,0.9241
G02,page7-255,5,4,0.9849
G02,page9-46,1,0,0.8008
G02,page9-46,2,1,0.7709
G02,page9-46,3,2,0.6723
G02,page9-46,4,3,0.9652
G02,page9-46,5,4,0.8864
G02,page5-28,1,0,0.5233
G02,page5-28,2,1,0.8829
G02,page5-28,3,2,0.8168
G02,page5-28,4,3,1.0
G02,page5-28,5,4,0.8951
G03,page5-28,1,0,0.3735
G03,page5-28,2,1,0.9036
G03,page5-28,3,2,0.8233
G03,page5-28,4,3,0.9717
G03,page5-28,5,4,1.0
G03,page-B,1,0,0.5819
G03,page-B,2,1,0.8339
G03,page-B,3,2,0.9051
G03,page-B,4,3,0.9403
G03,page-B,5,4,1.0
G03,page9-46,1,0,0.8118
G03,page9-46,2,1,0.9069
G03,page9-46,3,2,0.8841
G03,page9-46,4,3,0.9735
G03,page9-46,5,4,1.0
G03,page7-107,1,0,0.8826
G03,page7-107,2,1,0.9503
G03,page7-107,3,2,0.9091
G03,page7-107,4,3,0.9804
G03,page7-107,5,4,1.0
G03,page7-255,1,0,0.7002
G03,page7-255,2,1,0.9336
G03,page7-255,3,2,0.9128
G03,page7-255,4,3,0.9872
G03,page7-255,5,4,1.0
G03,page3-35,1,0,0.7912
G03,page3-35,2,1,0.8988
G03,page3-35,3,2,0.8586
G03,page3-35,4,3,0.9833
G03,page3-35,5,4,0.9867
G04,page9-46,1,0,0.78
G04,page9-46,2,1,0.9656
G04,page9-46,3,2,0.9656
G04,page9-46,4,3,1.0
G04,page9-46,5,4,1.0
G04,page-B,1,0,0.715
G04,page-B,2,1,0.8133
G04,page-B,3,2,0.7894
G04,page-B,4,3,1.0
G04,page-B,5,4,1.0
G04,page7-255,1,0,0.6761
G04,page7-255,2,1,0.9149
G04,page7-255,3,2,1.0
G04,page7-255,4,3,1.0
G04,page7-255,5,4,0.8954
G04,page3-35,1,0,0.924
G04,page3-35,2,1,0.8787
G04,page3-35,3,2,0.994
G04,page3-35,4,3,1.0
G04,page3-35,5,4,0.8506
G04,page5-28,1,0,0.972
G04,page5-28,2,1,0.9862
G04,page5-28,3,2,1.0
G04,page5-28,4,3,1.0
G04,page5-28,5,4,0.9663
G04,page7-107,1,0,0.8952
G04,page7-107,2,1,0.9333
G04,page7-107,3,2,0.9839
G04,page7-107,4,3,0.9524
G04,page7-107,5,4,0.9945
G05,page7-255,1,0,0.6651
G05,page7-255,2,1,0.8301
G05,page7-255,3,2,0.7102
G05,page7-255,4,3,0.9952
G05,page7-255,5,4,0.725
G05,page9-46,1,0,0.858
G05,page9-46,2,1,0.9249
G05,page9-46,3,2,0.9804
G05,page9-46,4,3,0.9926
G05,page9-46,5,4,0.899
